nr_of_tries_median,nr_of_tries_sum,total_nr_of_empty_and_wrong_answers,f1,f1_score_IGNORE_TYPE
6.0,55.666666666666664,12.666666666666666,0.4979757085020243,0.7449392712550607
4.0,47.666666666666664,3.0,0.4979757085020243,0.7449392712550607
6.0,63.333333333333336,29.333333333333332,0.4979757085020243,0.7449392712550607
6.333333333333333,61.0,22.666666666666668,0.4979757085020243,0.7449392712550607
4.0,45.333333333333336,2.3333333333333335,0.4979757085020243,0.7449392712550607
6.0,57.0,13.333333333333334,0.4979757085020243,0.7449392712550607
6.0,59.333333333333336,10.333333333333334,0.4979757085020243,0.7449392712550607
6.0,64.33333333333333,1.3333333333333333,0.4979757085020243,0.7449392712550607
5.666666666666667,55.333333333333336,14.333333333333334,0.4979757085020243,0.7449392712550607
7.666666666666667,71.0,40.666666666666664,0.4979757085020243,0.7449392712550607
8.0,68.66666666666667,34.0,0.4979757085020243,0.7449392712550607
5.666666666666667,53.0,13.666666666666666,0.4979757085020243,0.7449392712550607
7.666666666666667,64.66666666666667,24.666666666666668,0.4979757085020243,0.7449392712550607
7.666666666666667,67.0,21.666666666666668,0.4979757085020243,0.7449392712550607
7.666666666666667,72.0,12.666666666666666,0.4979757085020243,0.7449392712550607
5.666666666666667,63.0,31.0,0.4979757085020243,0.7449392712550607
6.0,60.666666666666664,24.333333333333332,0.4979757085020243,0.7449392712550607
3.6666666666666665,45.0,4.0,0.4979757085020243,0.7449392712550607
5.666666666666667,56.666666666666664,15.0,0.4979757085020243,0.7449392712550607
5.666666666666667,59.0,12.0,0.4979757085020243,0.7449392712550607
5.666666666666667,64.0,3.0,0.4979757085020243,0.7449392712550607
8.0,76.33333333333333,50.666666666666664,0.4979757085020243,0.7449392712550607
5.666666666666667,60.666666666666664,30.333333333333332,0.4979757085020243,0.7449392712550607
7.666666666666667,72.33333333333333,41.333333333333336,0.4979757085020243,0.7449392712550607
7.666666666666667,74.66666666666667,38.333333333333336,0.4979757085020243,0.7449392712550607
7.666666666666667,79.66666666666667,29.333333333333332,0.4979757085020243,0.7449392712550607
